t_beat,rr_ms,abs_drr,z_rr,z_abs_drr
70002,992.0,24.0,-0.6756323100444859,-0.4387517227538799
70003,960.0,32.0,-0.8855936010072,-0.328468015793705
70004,960.0,0.0,-0.8855936010072,-0.7696028436344046
70005,984.0,24.0,-0.7281226327851644,-0.4387517227538799
70006,1008.0,24.0,-0.5706516645631288,-0.4387517227538799
70007,1016.0,8.0,-0.5181613418224503,-0.6593191366742297
70008,1040.0,24.0,-0.3606903736004147,-0.4387517227538799
70009,1016.0,24.0,-0.5181613418224503,-0.4387517227538799
70010,1016.0,0.0,-0.5181613418224503,-0.7696028436344046
70011,1032.0,16.0,-0.4131806963410933,-0.5490354297140548
70012,1016.0,16.0,-0.5181613418224503,-0.5490354297140548
70013,1000.0,16.0,-0.6231419873038073,-0.5490354297140548
70014,1008.0,8.0,-0.5706516645631288,-0.6593191366742297
70015,1032.0,24.0,-0.4131806963410933,-0.4387517227538799
70016,984.0,48.0,-0.7281226327851644,-0.1079006018733553
70017,952.0,32.0,-0.9380839237478784,-0.328468015793705
70018,944.0,8.0,-0.990574246488557,-0.6593191366742297
70019,944.0,0.0,-0.990574246488557,-0.7696028436344046
70020,944.0,0.0,-0.990574246488557,-0.7696028436344046
70021,960.0,16.0,-0.8855936010072,-0.5490354297140548
70022,976.0,16.0,-0.7806129555258429,-0.5490354297140548
70023,1008.0,32.0,-0.5706516645631288,-0.328468015793705
70024,1080.0,72.0,-0.0982387598970221,0.2229505190071692
70025,1032.0,48.0,-0.4131806963410933,-0.1079006018733553
70026,1008.0,24.0,-0.5706516645631288,-0.4387517227538799
70027,1024.0,16.0,-0.4656710190817718,-0.5490354297140548
70028,1016.0,8.0,-0.5181613418224503,-0.6593191366742297
70029,1032.0,16.0,-0.4131806963410933,-0.5490354297140548
70030,992.0,40.0,-0.6756323100444859,-0.2181843088335302
70031,952.0,40.0,-0.9380839237478784,-0.2181843088335302
70032,952.0,0.0,-0.9380839237478784,-0.7696028436344046
70033,944.0,8.0,-0.990574246488557,-0.6593191366742297
70034,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70035,952.0,0.0,-0.9380839237478784,-0.7696028436344046
70036,968.0,16.0,-0.8331032782665214,-0.5490354297140548
70037,1024.0,56.0,-0.4656710190817718,0.0023831050868195
70038,1096.0,72.0,0.0067418855843349,0.2229505190071692
70039,1032.0,64.0,-0.4131806963410933,0.1126668120469944
70040,1032.0,0.0,-0.4131806963410933,-0.7696028436344046
70041,1008.0,24.0,-0.5706516645631288,-0.4387517227538799
70042,1008.0,0.0,-0.5706516645631288,-0.7696028436344046
70043,1016.0,8.0,-0.5181613418224503,-0.6593191366742297
70044,968.0,48.0,-0.8331032782665214,-0.1079006018733553
70045,952.0,16.0,-0.9380839237478784,-0.5490354297140548
70046,944.0,8.0,-0.990574246488557,-0.6593191366742297
70047,944.0,0.0,-0.990574246488557,-0.7696028436344046
70048,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70049,968.0,16.0,-0.8331032782665214,-0.5490354297140548
70050,984.0,16.0,-0.7281226327851644,-0.5490354297140548
70051,1040.0,56.0,-0.3606903736004147,0.0023831050868195
70052,1096.0,56.0,0.0067418855843349,0.0023831050868195
70053,1056.0,40.0,-0.2557097281190577,-0.2181843088335302
70054,1024.0,32.0,-0.4656710190817718,-0.328468015793705
70055,1024.0,0.0,-0.4656710190817718,-0.7696028436344046
70056,1032.0,8.0,-0.4131806963410933,-0.6593191366742297
70057,992.0,40.0,-0.6756323100444859,-0.2181843088335302
70058,976.0,16.0,-0.7806129555258429,-0.5490354297140548
70059,960.0,16.0,-0.8855936010072,-0.5490354297140548
70060,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70061,952.0,0.0,-0.9380839237478784,-0.7696028436344046
70062,992.0,40.0,-0.6756323100444859,-0.2181843088335302
70063,1000.0,8.0,-0.6231419873038073,-0.6593191366742297
70064,1024.0,24.0,-0.4656710190817718,-0.4387517227538799
70065,1120.0,96.0,0.1642128538063704,0.5538016398876938
70066,1056.0,64.0,-0.2557097281190577,0.1126668120469944
70067,1040.0,16.0,-0.3606903736004147,-0.5490354297140548
70068,1040.0,0.0,-0.3606903736004147,-0.7696028436344046
70069,1024.0,16.0,-0.4656710190817718,-0.5490354297140548
70070,1032.0,8.0,-0.4131806963410933,-0.6593191366742297
70071,1008.0,24.0,-0.5706516645631288,-0.4387517227538799
70072,952.0,56.0,-0.9380839237478784,0.0023831050868195
70073,952.0,0.0,-0.9380839237478784,-0.7696028436344046
70074,944.0,8.0,-0.990574246488557,-0.6593191366742297
70075,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70076,960.0,8.0,-0.8855936010072,-0.6593191366742297
70077,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70078,960.0,8.0,-0.8855936010072,-0.6593191366742297
70079,1016.0,56.0,-0.5181613418224503,0.0023831050868195
70080,1120.0,104.0,0.1642128538063704,0.6640853468478688
70081,1032.0,88.0,-0.4131806963410933,0.443517932927519
70082,1024.0,8.0,-0.4656710190817718,-0.6593191366742297
70083,1008.0,16.0,-0.5706516645631288,-0.5490354297140548
70084,1032.0,24.0,-0.4131806963410933,-0.4387517227538799
70085,1024.0,8.0,-0.4656710190817718,-0.6593191366742297
70086,968.0,56.0,-0.8331032782665214,0.0023831050868195
70087,952.0,16.0,-0.9380839237478784,-0.5490354297140548
70088,936.0,16.0,-1.0430645692292355,-0.5490354297140548
70089,952.0,16.0,-0.9380839237478784,-0.5490354297140548
70090,944.0,8.0,-0.990574246488557,-0.6593191366742297
70091,928.0,16.0,-1.095554891969914,-0.5490354297140548
70092,952.0,24.0,-0.9380839237478784,-0.4387517227538799
70093,992.0,40.0,-0.6756323100444859,-0.2181843088335302
70094,1120.0,128.0,0.1642128538063704,0.9949364677283932
70095,1040.0,80.0,-0.3606903736004147,0.3332342259673441
70096,1016.0,24.0,-0.5181613418224503,-0.4387517227538799
70097,1016.0,0.0,-0.5181613418224503,-0.7696028436344046
70098,1032.0,16.0,-0.4131806963410933,-0.5490354297140548
70099,1016.0,16.0,-0.5181613418224503,-0.5490354297140548
70100,984.0,32.0,-0.7281226327851644,-0.328468015793705
70101,960.0,24.0,-0.8855936010072,-0.4387517227538799
70102,944.0,16.0,-0.990574246488557,-0.5490354297140548
70103,968.0,24.0,-0.8331032782665214,-0.4387517227538799
70104,960.0,8.0,-0.8855936010072,-0.6593191366742297
70105,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70106,984.0,32.0,-0.7281226327851644,-0.328468015793705
70107,1024.0,40.0,-0.4656710190817718,-0.2181843088335302
70108,1136.0,112.0,0.2691934992877275,0.7743690538080437
70109,1096.0,40.0,0.0067418855843349,-0.2181843088335302
70110,1048.0,48.0,-0.3082000508597362,-0.1079006018733553
70111,1024.0,24.0,-0.4656710190817718,-0.4387517227538799
70112,1048.0,24.0,-0.3082000508597362,-0.4387517227538799
70113,1008.0,40.0,-0.5706516645631288,-0.2181843088335302
70114,968.0,40.0,-0.8331032782665214,-0.2181843088335302
70115,968.0,0.0,-0.8331032782665214,-0.7696028436344046
70116,960.0,8.0,-0.8855936010072,-0.6593191366742297
70117,968.0,8.0,-0.8331032782665214,-0.6593191366742297
70118,1000.0,32.0,-0.6231419873038073,-0.328468015793705
70119,1016.0,16.0,-0.5181613418224503,-0.5490354297140548
70120,1120.0,104.0,0.1642128538063704,0.6640853468478688
70121,1040.0,80.0,-0.3606903736004147,0.3332342259673441
70122,1072.0,32.0,-0.1507290826377006,-0.328468015793705
70123,1040.0,32.0,-0.3606903736004147,-0.328468015793705
70124,1024.0,16.0,-0.4656710190817718,-0.5490354297140548
70125,1016.0,8.0,-0.5181613418224503,-0.6593191366742297
70126,1008.0,8.0,-0.5706516645631288,-0.6593191366742297
70127,1008.0,0.0,-0.5706516645631288,-0.7696028436344046
70128,928.0,80.0,-1.095554891969914,0.3332342259673441
70129,936.0,8.0,-1.0430645692292355,-0.6593191366742297
70130,952.0,16.0,-0.9380839237478784,-0.5490354297140548
70131,976.0,24.0,-0.7806129555258429,-0.4387517227538799
70132,992.0,16.0,-0.6756323100444859,-0.5490354297140548
70133,1000.0,8.0,-0.6231419873038073,-0.6593191366742297
70134,1040.0,40.0,-0.3606903736004147,-0.2181843088335302
70135,1072.0,32.0,-0.1507290826377006,-0.328468015793705
70136,1008.0,64.0,-0.5706516645631288,0.1126668120469944
70137,1056.0,48.0,-0.2557097281190577,-0.1079006018733553
70138,1016.0,40.0,-0.5181613418224503,-0.2181843088335302
70139,1008.0,8.0,-0.5706516645631288,-0.6593191366742297
70140,1024.0,16.0,-0.4656710190817718,-0.5490354297140548
70141,992.0,32.0,-0.6756323100444859,-0.328468015793705
70142,944.0,48.0,-0.990574246488557,-0.1079006018733553
70143,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70144,960.0,8.0,-0.8855936010072,-0.6593191366742297
70145,976.0,16.0,-0.7806129555258429,-0.5490354297140548
70146,1000.0,24.0,-0.6231419873038073,-0.4387517227538799
70147,1008.0,8.0,-0.5706516645631288,-0.6593191366742297
70148,1080.0,72.0,-0.0982387598970221,0.2229505190071692
70149,1024.0,56.0,-0.4656710190817718,0.0023831050868195
70150,992.0,32.0,-0.6756323100444859,-0.328468015793705
70151,1080.0,88.0,-0.0982387598970221,0.443517932927519
70152,1008.0,72.0,-0.5706516645631288,0.2229505190071692
70153,1024.0,16.0,-0.4656710190817718,-0.5490354297140548
70154,1000.0,24.0,-0.6231419873038073,-0.4387517227538799
70155,960.0,40.0,-0.8855936010072,-0.2181843088335302
70156,960.0,0.0,-0.8855936010072,-0.7696028436344046
70157,944.0,16.0,-0.990574246488557,-0.5490354297140548
70158,960.0,16.0,-0.8855936010072,-0.5490354297140548
70159,992.0,32.0,-0.6756323100444859,-0.328468015793705
70160,1032.0,40.0,-0.4131806963410933,-0.2181843088335302
70161,1080.0,48.0,-0.0982387598970221,-0.1079006018733553
70162,1024.0,56.0,-0.4656710190817718,0.0023831050868195
70163,1032.0,8.0,-0.4131806963410933,-0.6593191366742297
70164,1080.0,48.0,-0.0982387598970221,-0.1079006018733553
70165,1032.0,48.0,-0.4131806963410933,-0.1079006018733553
70166,1024.0,8.0,-0.4656710190817718,-0.6593191366742297
70167,1000.0,24.0,-0.6231419873038073,-0.4387517227538799
70168,984.0,16.0,-0.7281226327851644,-0.5490354297140548
70169,976.0,8.0,-0.7806129555258429,-0.6593191366742297
70170,960.0,16.0,-0.8855936010072,-0.5490354297140548
70171,960.0,0.0,-0.8855936010072,-0.7696028436344046
70172,1016.0,56.0,-0.5181613418224503,0.0023831050868195
70173,1032.0,16.0,-0.4131806963410933,-0.5490354297140548
70174,1112.0,80.0,0.1117225310656919,0.3332342259673441
70175,1032.0,80.0,-0.4131806963410933,0.3332342259673441
70176,984.0,48.0,-0.7281226327851644,-0.1079006018733553
70177,1088.0,104.0,-0.0457484371563436,0.6640853468478688
70178,1040.0,48.0,-0.3606903736004147,-0.1079006018733553
70179,1008.0,32.0,-0.5706516645631288,-0.328468015793705
70180,992.0,16.0,-0.6756323100444859,-0.5490354297140548
70181,976.0,16.0,-0.7806129555258429,-0.5490354297140548
70182,960.0,16.0,-0.8855936010072,-0.5490354297140548
70183,944.0,16.0,-0.990574246488557,-0.5490354297140548
70184,928.0,16.0,-1.095554891969914,-0.5490354297140548
70185,928.0,0.0,-1.095554891969914,-0.7696028436344046
70186,952.0,24.0,-0.9380839237478784,-0.4387517227538799
70187,960.0,8.0,-0.8855936010072,-0.6593191366742297
70188,976.0,16.0,-0.7806129555258429,-0.5490354297140548
70189,1024.0,48.0,-0.4656710190817718,-0.1079006018733553
70190,1128.0,104.0,0.216703176547049,0.6640853468478688
70191,1016.0,112.0,-0.5181613418224503,0.7743690538080437
70192,1024.0,8.0,-0.4656710190817718,-0.6593191366742297
70193,1088.0,64.0,-0.0457484371563436,0.1126668120469944
70194,1040.0,48.0,-0.3606903736004147,-0.1079006018733553
70195,1016.0,24.0,-0.5181613418224503,-0.4387517227538799
70196,992.0,24.0,-0.6756323100444859,-0.4387517227538799
70197,976.0,16.0,-0.7806129555258429,-0.5490354297140548
70198,944.0,32.0,-0.990574246488557,-0.328468015793705
70199,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70200,984.0,32.0,-0.7281226327851644,-0.328468015793705
70201,1024.0,40.0,-0.4656710190817718,-0.2181843088335302
70202,1032.0,8.0,-0.4131806963410933,-0.6593191366742297
70203,1112.0,80.0,0.1117225310656919,0.3332342259673441
70204,1032.0,80.0,-0.4131806963410933,0.3332342259673441
70205,1008.0,24.0,-0.5706516645631288,-0.4387517227538799
70206,1096.0,88.0,0.0067418855843349,0.443517932927519
70207,1024.0,72.0,-0.4656710190817718,0.2229505190071692
70208,1008.0,16.0,-0.5706516645631288,-0.5490354297140548
70209,1000.0,8.0,-0.6231419873038073,-0.6593191366742297
70210,976.0,24.0,-0.7806129555258429,-0.4387517227538799
70211,960.0,16.0,-0.8855936010072,-0.5490354297140548
70212,960.0,0.0,-0.8855936010072,-0.7696028436344046
70213,984.0,24.0,-0.7281226327851644,-0.4387517227538799
70214,1032.0,48.0,-0.4131806963410933,-0.1079006018733553
70215,1096.0,64.0,0.0067418855843349,0.1126668120469944
70216,1064.0,32.0,-0.2032194053783791,-0.328468015793705
70217,1024.0,40.0,-0.4656710190817718,-0.2181843088335302
70218,992.0,32.0,-0.6756323100444859,-0.328468015793705
70219,1120.0,128.0,0.1642128538063704,0.9949364677283932
70220,1040.0,80.0,-0.3606903736004147,0.3332342259673441
70221,1008.0,32.0,-0.5706516645631288,-0.328468015793705
70222,984.0,24.0,-0.7281226327851644,-0.4387517227538799
70223,992.0,8.0,-0.6756323100444859,-0.6593191366742297
70224,984.0,8.0,-0.7281226327851644,-0.6593191366742297
70225,968.0,16.0,-0.8331032782665214,-0.5490354297140548
70226,992.0,24.0,-0.6756323100444859,-0.4387517227538799
70227,1016.0,24.0,-0.5181613418224503,-0.4387517227538799
70228,1072.0,56.0,-0.1507290826377006,0.0023831050868195
70229,1064.0,8.0,-0.2032194053783791,-0.6593191366742297
70230,1008.0,56.0,-0.5706516645631288,0.0023831050868195
70231,1064.0,56.0,-0.2032194053783791,0.0023831050868195
70232,1056.0,8.0,-0.2557097281190577,-0.6593191366742297
70233,1024.0,32.0,-0.4656710190817718,-0.328468015793705
70234,1016.0,8.0,-0.5181613418224503,-0.6593191366742297
70235,984.0,32.0,-0.7281226327851644,-0.328468015793705
70236,976.0,8.0,-0.7806129555258429,-0.6593191366742297
70237,984.0,8.0,-0.7281226327851644,-0.6593191366742297
70238,968.0,16.0,-0.8331032782665214,-0.5490354297140548
70239,960.0,8.0,-0.8855936010072,-0.6593191366742297
70240,992.0,32.0,-0.6756323100444859,-0.328468015793705
70241,1032.0,40.0,-0.4131806963410933,-0.2181843088335302
70242,1080.0,48.0,-0.0982387598970221,-0.1079006018733553
70243,1024.0,56.0,-0.4656710190817718,0.0023831050868195
70244,976.0,48.0,-0.7806129555258429,-0.1079006018733553
70245,1072.0,96.0,-0.1507290826377006,0.5538016398876938
70246,1048.0,24.0,-0.3082000508597362,-0.4387517227538799
70247,1016.0,32.0,-0.5181613418224503,-0.328468015793705
70248,992.0,24.0,-0.6756323100444859,-0.4387517227538799
70249,960.0,32.0,-0.8855936010072,-0.328468015793705
70250,968.0,8.0,-0.8331032782665214,-0.6593191366742297
70251,968.0,0.0,-0.8331032782665214,-0.7696028436344046
70252,960.0,8.0,-0.8855936010072,-0.6593191366742297
70253,976.0,16.0,-0.7806129555258429,-0.5490354297140548
70254,1024.0,48.0,-0.4656710190817718,-0.1079006018733553
70255,1104.0,80.0,0.0592322083250134,0.3332342259673441
70256,1008.0,96.0,-0.5706516645631288,0.5538016398876938
70257,1008.0,0.0,-0.5706516645631288,-0.7696028436344046
70258,1072.0,64.0,-0.1507290826377006,0.1126668120469944
70259,1032.0,40.0,-0.4131806963410933,-0.2181843088335302
70260,1032.0,0.0,-0.4131806963410933,-0.7696028436344046
70261,992.0,40.0,-0.6756323100444859,-0.2181843088335302
70262,984.0,8.0,-0.7281226327851644,-0.6593191366742297
70263,976.0,8.0,-0.7806129555258429,-0.6593191366742297
70264,1000.0,24.0,-0.6231419873038073,-0.4387517227538799
70265,1024.0,24.0,-0.4656710190817718,-0.4387517227538799
70266,1048.0,24.0,-0.3082000508597362,-0.4387517227538799
70267,1088.0,40.0,-0.0457484371563436,-0.2181843088335302
70268,1056.0,32.0,-0.2557097281190577,-0.328468015793705
70269,1048.0,8.0,-0.3082000508597362,-0.6593191366742297
70270,1016.0,32.0,-0.5181613418224503,-0.328468015793705
70271,1008.0,8.0,-0.5706516645631288,-0.6593191366742297
70272,1008.0,0.0,-0.5706516645631288,-0.7696028436344046
70273,976.0,32.0,-0.7806129555258429,-0.328468015793705
70274,984.0,8.0,-0.7281226327851644,-0.6593191366742297
70275,960.0,24.0,-0.8855936010072,-0.4387517227538799
70276,952.0,8.0,-0.9380839237478784,-0.6593191366742297
70277,968.0,16.0,-0.8331032782665214,-0.5490354297140548
70278,1000.0,32.0,-0.6231419873038073,-0.328468015793705
70279,976.0,24.0,-0.7806129555258429,-0.4387517227538799
70280,920.0,56.0,-1.1480452147105926,0.0023831050868195
70281,928.0,8.0,-1.095554891969914,-0.6593191366742297
70282,952.0,24.0,-0.9380839237478784,-0.4387517227538799
70283,968.0,16.0,-0.8331032782665214,-0.5490354297140548
70284,960.0,8.0,-0.8855936010072,-0.6593191366742297
70285,912.0,48.0,-1.200535537451271,-0.1079006018733553
70286,888.0,24.0,-1.3580065056733066,-0.4387517227538799
70287,1000.0,112.0,-0.6231419873038073,0.7743690538080437
70288,936.0,64.0,-1.0430645692292355,0.1126668120469944
70289,880.0,56.0,-1.4104968284139852,0.0023831050868195
70290,944.0,64.0,-0.990574246488557,0.1126668120469944
70291,904.0,40.0,-1.2530258601919495,-0.2181843088335302
70292,928.0,24.0,-1.095554891969914,-0.4387517227538799
70293,928.0,0.0,-1.095554891969914,-0.7696028436344046
70294,912.0,16.0,-1.200535537451271,-0.5490354297140548
70295,904.0,8.0,-1.2530258601919495,-0.6593191366742297
70296,920.0,16.0,-1.1480452147105926,-0.5490354297140548
70297,952.0,32.0,-0.9380839237478784,-0.328468015793705
70298,928.0,24.0,-1.095554891969914,-0.4387517227538799
70299,920.0,8.0,-1.1480452147105926,-0.6593191366742297
70300,904.0,16.0,-1.2530258601919495,-0.5490354297140548
70301,1040.0,136.0,-0.3606903736004147,1.105220174688568
70302,992.0,48.0,-0.6756323100444859,-0.1079006018733553
70303,1008.0,16.0,-0.5706516645631288,-0.5490354297140548
70304,984.0,24.0,-0.7281226327851644,-0.4387517227538799
70305,960.0,24.0,-0.8855936010072,-0.4387517227538799
70306,1000.0,40.0,-0.6231419873038073,-0.2181843088335302
70307,1048.0,48.0,-0.3082000508597362,-0.1079006018733553
70308,1008.0,40.0,-0.5706516645631288,-0.2181843088335302
70309,976.0,32.0,-0.7806129555258429,-0.328468015793705
70310,960.0,16.0,-0.8855936010072,-0.5490354297140548
70311,1128.0,168.0,0.216703176547049,1.5463550025292676
70312,1040.0,88.0,-0.3606903736004147,0.443517932927519
70313,1016.0,24.0,-0.5181613418224503,-0.4387517227538799
70314,1000.0,16.0,-0.6231419873038073,-0.5490354297140548
70315,984.0,16.0,-0.7281226327851644,-0.5490354297140548
70316,984.0,0.0,-0.7281226327851644,-0.7696028436344046
70317,1000.0,16.0,-0.6231419873038073,-0.5490354297140548
70318,984.0,16.0,-0.7281226327851644,-0.5490354297140548
70319,976.0,8.0,-0.7806129555258429,-0.6593191366742297
70320,984.0,8.0,-0.7281226327851644,-0.6593191366742297
70321,984.0,0.0,-0.7281226327851644,-0.7696028436344046
70322,1072.0,88.0,-0.1507290826377006,0.443517932927519
70323,1024.0,48.0,-0.4656710190817718,-0.1079006018733553
70324,1120.0,96.0,0.1642128538063704,0.5538016398876938
70325,1080.0,40.0,-0.0982387598970221,-0.2181843088335302
70326,1040.0,40.0,-0.3606903736004147,-0.2181843088335302
70327,1008.0,32.0,-0.5706516645631288,-0.328468015793705
70328,1016.0,8.0,-0.5181613418224503,-0.6593191366742297
70329,1016.0,0.0,-0.5181613418224503,-0.7696028436344046
70330,1040.0,24.0,-0.3606903736004147,-0.4387517227538799
70331,1008.0,32.0,-0.5706516645631288,-0.328468015793705
70332,1024.0,16.0,-0.4656710190817718,-0.5490354297140548
70333,992.0,32.0,-0.6756323100444859,-0.328468015793705
70334,984.0,8.0,-0.7281226327851644,-0.6593191366742297
70335,1152.0,168.0,0.3741741447690845,1.5463550025292676
70336,1048.0,104.0,-0.3082000508597362,0.6640853468478688
70337,1024.0,24.0,-0.4656710190817718,-0.4387517227538799
70338,992.0,32.0,-0.6756323100444859,-0.328468015793705
70339,992.0,0.0,-0.6756323100444859,-0.7696028436344046
70340,1016.0,24.0,-0.5181613418224503,-0.4387517227538799
70341,1040.0,24.0,-0.3606903736004147,-0.4387517227538799
70342,1080.0,40.0,-0.0982387598970221,-0.2181843088335302
70343,1040.0,40.0,-0.3606903736004147,-0.2181843088335302
70344,1056.0,16.0,-0.2557097281190577,-0.5490354297140548
70345,1064.0,8.0,-0.2032194053783791,-0.6593191366742297
70346,1016.0,48.0,-0.5181613418224503,-0.1079006018733553
70347,1008.0,8.0,-0.5706516645631288,-0.6593191366742297
70348,1056.0,48.0,-0.2557097281190577,-0.1079006018733553
70349,1008.0,48.0,-0.5706516645631288,-0.1079006018733553
70350,992.0,16.0,-0.6756323100444859,-0.5490354297140548
70351,992.0,0.0,-0.6756323100444859,-0.7696028436344046
70352,1024.0,32.0,-0.4656710190817718,-0.328468015793705
70353,1064.0,40.0,-0.2032194053783791,-0.2181843088335302
70354,1072.0,8.0,-0.1507290826377006,-0.6593191366742297
70355,1008.0,64.0,-0.5706516645631288,0.1126668120469944
70356,1000.0,8.0,-0.6231419873038073,-0.6593191366742297
70357,1000.0,0.0,-0.6231419873038073,-0.7696028436344046
70358,1136.0,136.0,0.2691934992877275,1.105220174688568
70359,1048.0,88.0,-0.3082000508597362,0.443517932927519
70360,1024.0,24.0,-0.4656710190817718,-0.4387517227538799
70361,992.0,32.0,-0.6756323100444859,-0.328468015793705
70362,1000.0,8.0,-0.6231419873038073,-0.6593191366742297
70363,1000.0,0.0,-0.6231419873038073,-0.7696028436344046
70364,1000.0,0.0,-0.6231419873038073,-0.7696028436344046
70365,1040.0,40.0,-0.3606903736004147,-0.2181843088335302
70366,1072.0,32.0,-0.1507290826377006,-0.328468015793705
70367,1040.0,32.0,-0.3606903736004147,-0.328468015793705
70368,1008.0,32.0,-0.5706516645631288,-0.328468015793705
70369,976.0,32.0,-0.7806129555258429,-0.328468015793705
70370,1120.0,144.0,0.1642128538063704,1.215503881648743
70371,1056.0,64.0,-0.2557097281190577,0.1126668120469944
70372,1024.0,32.0,-0.4656710190817718,-0.328468015793705
70373,976.0,48.0,-0.7806129555258429,-0.1079006018733553
70374,984.0,8.0,-0.7281226327851644,-0.6593191366742297
70375,992.0,8.0,-0.6756323100444859,-0.6593191366742297
70376,1024.0,32.0,-0.4656710190817718,-0.328468015793705
70377,1032.0,8.0,-0.4131806963410933,-0.6593191366742297
70378,1040.0,8.0,-0.3606903736004147,-0.6593191366742297
